"ARS.AX","ALTRES LTD FPO",0.046,+0.000,N/A
"ATC.AX","ALTECH CHE FPO",0.130,+0.000,N/A
"AIQ.AX","A INV TRST UNITS",0.08,+0.00,N/A
"1AG.AX","ALTERRA FPO",0.030,+0.000,N/A
"ALU.AX","ALTIUM LTD FPO",8.55,+0.00,N/A
"AME.AX","ALTOMETALS FPO",0.090,+0.000,N/A
"AOH.AX","ALTONA FPO",0.145,+0.003,N/A
"AJM.AX","ALTURA FPO",0.145,+0.000,N/A
"AWC.AX","ALUMINA FPO",1.840,-0.050,N/A
"AMA.AX","AMA GROUP FPO",1.08,+0.00,N/A
"ANL.AX","AMANI GOLD FPO",0.036,-0.004,N/A
"AYS.AX","AMAYSIM FPO",1.77,+0.10,N/A
"AMO.AX","AMBERTECH FPO",0.20,+0.00,N/A
"AMB.AX","AMBITION FPO",0.17,+0.00,N/A
"AMH.AX","AMCIL FPO",0.93,+0.00,N/A
"AMC.AX","AMCOR FPO",15.30,+0.02,N/A
"AOW.AX","AMERICAN FPO",0.031,+0.000,N/A
"AXZ.AX","AMEX RES FPO",0.50,+0.00,N/A
"AMP.AX","AMP FPO",5.22,-0.06,N/A
"ANQ.AX","ANAECO LTD FPO",0.003,+0.000,N/A
"ALT.AX","ANALYTICA FPO",0.006,+0.000,N/A
"ANR.AX","ANATARA LS FPO",1.03,+0.03,N/A
"AHR.AX","ANCHOR RES FPO",0.195,+0.000,N/A
"ADN.AX","ANDROMEDA FPO",0.007,+0.000,N/A
"ATM.AX","ANEKA TAMB CDI 1:5",0.90,+0.00,N/A
"AQM.AX",N/A,N/A,N/A,N/A
"AAR.AX","ANGLO FPO",0.040,-0.006,N/A
"AGG.AX","ANGLOGOLD CDI 5:1",3.15,+0.02,N/A
"AB1.AX","ANIMOCA FPO",0.030,+0.000,N/A
"AWV.AX","ANOVAMETAL FPO",0.120,-0.005,N/A
"ANN.AX","ANSELL FPO",24.29,-0.22,N/A
"ASN.AX","ANSON RES FPO",0.032,-0.002,N/A
"AZZ.AX","ANTARES FPO",N/A,+0.00,N/A
"ATT.AX","ANTE REAL UNIT",0.03,+0.00,N/A
"ADO.AX","ANTEO FPO",0.03,+0.00,N/A
"AVD.AX","ANTILLES FPO",0.020,-0.001,N/A
"AZY.AX","ANTIPA MIN FPO",0.019,+0.000,N/A
"APL.AX","ANTIPODES FPO",1.230,-0.015,N/A
"ANP.AX","ANTISENSE FPO",0.032,-0.001,N/A
"APE.AX","AP EAGERS FPO",7.60,-0.21,N/A
"APA.AX","APA GROUP STAPLED",9.44,-0.04,N/A
"AAL.AX","APAC COAL FPO",N/A,+0.000,N/A
"AQQ.AX","APHRODITE FPO",0.027,-0.002,N/A
"AHX.AX","APIAM FPO",1.25,+0.04,N/A
"APN.AX","APN N&M FPO",N/A,+0.12,N/A
"APO.AX","APNOUTDOOR FPO",5.35,-0.07,N/A
"APD.AX","APN PROP FPO",0.38,-0.01,N/A
"AOP.AX","APOLLOCONS FPO",0.077,+0.000,N/A
"AON.AX","APOLLO MIN FPO",0.230,-0.005,N/A
"AOJ.AX",N/A,N/A,N/A,N/A
"AOR.AX",N/A,N/A,N/A,N/A
"AOL.AX",N/A,N/A,N/A,N/A
"ATL.AX","APOLLO T&L FPO",1.34,+0.00,N/A
"APX.AX","APPEN FPO",2.65,-0.01,N/A
