"IJH","ISCMIDCAP CDI 1:1",232.66,"+0.30%"
"MOQ","MOQLIMITED FPO",0.335,"+0.000%"
"1PG","1 PAGE FPO",0.165,"+0.000%"
"ONT","SMILES LTD FPO",7.10,"+0.42%"
"1ST","1ST GROUP FPO",0.04,"+0.00%"
"T3D","333D FPO",0.01,"+0.00%"
"TGP","360 GROUP STAPLED",0.95,"-2.06%"
"TOT","360 TOTAL STAPLED",1.155,"+2.212%"
"TDO","3D OIL FPO",0.042,"+10.526%"
"DDD","3D RES FPO",0.004,"+0.000%"
"3PL","3PLEARNING FPO",0.96,"+0.00%"
"4DS","4DSMEMORY FPO",0.021,"+5.000%"
"88E","88 ENERGY FPO",0.045,"-2.174%"
"8CO","8COMMONLTD FPO",0.06,"+0.00%"
"8IH","8I HOLD CDI 1:1",0.50,"+0.00%"
"8EC","8IP EMERG FPO",0.98,"-1.01%"
"9SP","9SPOKES FPO NZ",0.15,"+7.14%"
"NNW","99 WUXIAN CDI 1:1",0.096,"-1.031%"
"ACB","ACAP RES FPO",0.059,"+0.000%"
"AYI","A1 INVEST FPO",0.001,"+0.000%"
"ABP","ABACUS STAPLED",3.47,"+0.58%"
"ALR","ABERDEEN FPO",1.16,"+0.43%"
"ABL","ABILENEOIL FPO",0.008,"+0.000%"
"ABU","ABM RES FPO",0.089,"-10.101%"
"AEG","AB EQ PERF FPO",1.02,"-0.97%"
"ABT","ABUNDANT FPO",0.46,"+4.55%"
"AJC","ACACIACOAL FPO",0.006,"+0.000%"
"AKG","ACADEMIES FPO",0.195,"+0.000%"
"ACS","ACCENT RES FPO",0.03,"+0.00%"
"ACX","ACONEX FPO",4.26,"-0.47%"
"ACQ","ACORN CAP FPO",0.99,"+0.00%"
"ACR","ACRUX FPO",0.265,"+0.000%"
"ACW","ACTINOGEN FPO",0.086,"+10.256%"
"AIV","ACTIVEX FPO",0.12,"+4.35%"
"ACU","ACU LTD FPO",0.015,"+0.000%"
"ADA","ADACEL FPO",2.54,"+3.25%"
"ADH","ADAIRS FPO",0.885,"-1.667%"
"1AD","ADALTA FPO",0.29,"+0.00%"
"ADD","ADAVALE FPO",0.011,"+0.000%"
"AAU","ADCORP AUS FPO",0.017,"+6.250%"
"ABC","ADEL BRTN FPO",5.73,"+0.70%"
"ADQ","ADG GLOBAL FPO",0.88,"+0.00%"
"ADR","ADHERIUM FPO",0.215,"-2.273%"
"AHZ","ADMEDUS FPO",0.325,"+0.000%"
"ADY","ADMIRALTY FPO",0.009,"+12.500%"
"ADJ","ADSLOT LTD FPO",0.063,"-1.563%"
"ABV","ADV BRAKE FPO",0.008,"+0.000%"
"ANO","ADVNANOTEC FPO",0.028,"+0.000%"
"ASW","ADVANSHARE FPO",0.835,"+0.000%"
"ADX","ADXENERGY FPO",0.015,"-6.250%"
"AER","AEERIS FPO",0.065,"+0.000%"
"AML","AEON METAL FPO",0.165,"+0.000%"
"AEI","AERIS ENV FPO",0.36,"+4.35%"
"AIS","AERISRES FPO",0.04,"-13.04%"
"AFR","AFRICAN EN CDI 1:1",0.052,"+4.000%"
"AFT","AFT CORP FPO",0.001,"+0.000%"
"AFP","AFT PHARM FPO NZX",2.60,"+8.33%"
"AFY","AFTERPAY FPO",2.44,"-0.41%"
"AGL","AGL ENERGY FPO",26.62,"-1.26%"
"AGJ","AGRI LAND UNIT",0.05,"+0.00%"
"AMN","AGRIMIN FPO",0.43,"-2.27%"
"AGR","AGUIA RES FPO",0.495,"+3.125%"
"AHL","AHALIFE FPO",0.035,"+0.000%"
"APW","AIMSPROSEC UNIT",1.52,"+0.00%"
"AGI","AINSWORTH FPO",1.875,"-0.266%"
"AIZ","AIR N.Z. FPO NZX",2.34,"+2.63%"
"AXP","AIRXPANDRS CDI FORUS",0.85,"+4.94%"
"AJL","AJ LUCAS FPO",0.25,"-9.09%"
"AQG","ALACERGOLD CDI 1:1",2.24,"+0.90%"
"AUQ","ALARA RES FPO",0.017,"+0.000%"
"ACL","ALCHEMIA FPO",0.01,"+0.00%"
"ALY","ALCHEMYRES FPO",0.016,"+0.000%"
"ALC","ALCIDION FPO",0.061,"+0.000%"
"LEP","ALE GROUP STAPLED",4.76,"-0.42%"
"AJX","ALEXIUM FPO",0.485,"-2.020%"
"AEB","ALGAETEC FPO",0.048,"-2.041%"
"AQI","ALICANTO FPO",0.165,"-2.941%"
"AQX","ALICEQUEEN FPO",0.046,"-8.000%"
"ALK","ALKANE FPO",0.235,"+6.818%"
"AHQ","ALLEGIANCE FPO",0.021,"+5.000%"
"AMT","ALLEGRA FPO",0.17,"+13.33%"
"AQZ","AAVIATION FPO",0.685,"+3.788%"
"AGS","ALLIANCE FPO",0.088,"-2.222%"
"AGE","ALLIGATOR FPO",0.012,"+0.000%"
"AYR","ALLOY RES FPO",0.006,"+0.000%"
"ALQ","ALS FPO",6.28,"+0.16%"
"ARS","ALTRES LTD FPO",0.05,"-1.96%"
"ATC","ALTECH CHE FPO",0.135,"+0.000%"
"AIQ","A INV TRST UNITS",0.08,"+0.00%"
"1AG","ALTERRA FPO",0.027,"+0.000%"
"ALU","ALTIUM LTD FPO",8.20,"+0.74%"
"AME","ALTOMETALS FPO",0.09,"+0.00%"
"AOH","ALTONA FPO",0.15,"+0.00%"
"AJM","ALTURA FPO",0.14,"+3.70%"
"AWC","ALUMINA FPO",1.78,"-3.26%"
"AMA","AMA GROUP FPO",1.06,"+0.47%"
"ANL","AMANI GOLD FPO",0.043,"+7.500%"
"AYS","AMAYSIM FPO",1.755,"-0.284%"
"AMO","AMBERTECH FPO",0.20,"+0.00%"

