"AMB","AMBITION FPO",0.165,"+0.000%"
"AMH","AMCIL FPO",0.905,"+0.000%"
"AMC","AMCOR FPO",15.75,"+0.38%"
"AOW","AMERICAN FPO",0.03,"-6.25%"
"AXZ","AMEX RES FPO",0.47,"+0.00%"
"AMP","AMP FPO",5.30,"-0.19%"
"ANQ","ANAECO LTD FPO",0.003,"+50.000%"
"ALT","ANALYTICA FPO",0.005,"-16.667%"
"ANR","ANATARA LS FPO",1.11,"+0.00%"
"AHR","ANCHOR RES FPO",0.023,"+0.000%"
"ADN","ANDROMEDA FPO",0.008,"+0.000%"
"ATM","ANEKA TAMB CDI 1:5",0.63,"+0.00%"
"AQM",N/A,N/A,N/A
"AAR","ANGLO FPO",0.037,"+0.000%"
"AGG","ANGLOGOLD CDI 5:1",3.19,"+0.00%"
"AB1","ANIMOCA FPO",0.034,"+0.000%"
"AWV","ANOVAMETAL FPO",0.115,"+0.000%"
"ANN","ANSELL FPO",23.56,"-1.01%"
"ASN","ANSON RES FPO",0.029,"+3.571%"
"AZZ","ANTARES FPO",0.50,"+0.00%"
"ATT","ANTE REAL UNIT",0.043,"+0.000%"
"ADO","ANTEO FPO",0.033,"+0.000%"
"AVD","ANTILLES FPO",0.024,"+0.000%"
"AZY","ANTIPA MIN FPO",0.018,"-5.263%"
"APL","ANTIPODES FPO",1.19,"-0.42%"
"ANP","ANTISENSE FPO",0.034,"+0.000%"
"APE","AP EAGERS FPO",8.15,"-1.81%"
"APA","APA GROUP STAPLED",9.12,"-0.55%"
"AAL","APAC COAL FPO",0.005,"+0.000%"
"AQQ","APHRODITE FPO",0.028,"+3.704%"
"AHX","APIAM FPO",1.20,"+5.54%"
"APN","APN N&M FPO",2.49,"-0.40%"
"APO","APNOUTDOOR FPO",5.48,"+0.37%"
"APD","APN PROP FPO",0.39,"-1.27%"
"AOP","APOLLOCONS FPO",0.077,"+0.000%"
"AON","APOLLO MIN FPO",0.21,"-2.33%"
"AOJ",N/A,N/A,N/A
"AOR",N/A,N/A,N/A
"AOL",N/A,N/A,N/A
"ATL","APOLLO T&L FPO",1.34,"-1.47%"
"APX","APPEN FPO",2.66,"+0.00%"
"AD1","APPLYDIRCT FPO",0.16,"+0.00%"
"AQH",N/A,N/A,N/A
"AQU","AQUAINT FPO",0.10,"+0.00%"
"AQS","AQUIS FPO",0.05,"+0.00%"
"ARU","ARAFURA FPO",0.068,"+0.000%"
"ARB","ARB CORP FPO",15.46,"+1.18%"
"ARX","ARC EXPLRN FPO",0.53,"+0.95%"
"AXE","ARCHER EXP FPO",0.057,"-1.724%"
"ARL","ARDEARES FPO",0.64,"+5.79%"
"AAD","ARDENT LEI STAPLED",2.03,"-0.49%"
"ADV","ARDIDEN FPO",0.018,"+0.000%"
"ARF","ARENA REIT STAPLED",2.13,"+0.00%"
"ARD","ARGENT MIN FPO",0.036,"-2.703%"
"AXT","ARGO EXPLO FPO",0.032,"-3.030%"
"ALI","ARGO GLOBL FPO",1.79,"+1.13%"
"ARG","ARGO FPO",7.58,"-0.26%"
"ARE","ARGONAUT FPO",0.008,"+0.000%"
"AGY","ARGOSY FPO",0.063,"+0.000%"
"ARA","ARIADNE FPO",0.75,"-0.66%"
"ALL","ARISTOCRAT FPO",19.48,"+0.10%"
"AHK","ARK MINES FPO",0.15,"+0.00%"
"AIK","ARMIDALE FPO",0.145,"+0.000%"
"AJQ","ARMOUR FPO",0.078,"-2.500%"
"AWQ","AROWOPPFND FPO",0.95,"+0.00%"
"AWN","AROWANA FPO",0.55,"+0.00%"
"ARI","ARRIUM FPO",0.022,"+0.000%"
"AR1","ARROWHEAD FPO",0.015,"+0.000%"
"ARV","ARTEMIS FPO",0.093,"+3.333%"
"AAJ","ARUMA RES FPO",0.009,"+0.000%"
"AHY","ASALEO FPO",1.785,"+0.563%"
"AJY","ASAPLUS CDI 1:1",0.18,"+0.00%"
"AFA","ASF GROUP FPO",0.20,"+0.00%"
"ASH","ASHLEYSERV FPO",0.065,"+8.333%"
"AJD","APDCDATA STAPLED",1.58,"+1.94%"
"DIG","APDIGITAL FPO",0.29,"-4.92%"
"AJJ","ASIAN AMER FPO",0.125,"+0.000%"
"ATB",N/A,N/A,N/A
"AUF","ASIANMAST FPO",1.33,"+0.76%"
"AM3",N/A,N/A,N/A
"AKF","ASK FUND FPO",0.06,"+0.00%"
"APZ","ASPEN STAPLED",1.06,"+0.47%"
"ASP","ASPERMONT FPO",0.007,"-30.000%"
"AKM","ASPIRE FPO",0.02,"+0.00%"
"ASY","ASSEMBLE FPO",0.019,"+0.000%"
"AO1","ASSETOWL FPO",0.24,"+0.00%"
"AIR","ASTIVITA FPO",0.046,"+0.000%"
"AJA","ASTROJAPAN FORUS",6.65,"-0.30%"
"ARO","ASTRO RES FPO",0.002,"+0.000%"
"ATR","ASTRON CDI 1:1",0.165,"+0.000%"
"ASX","ASX FPO",50.56,"+0.02%"
"ATA","ATC ALLOYS FPO",0.025,"+0.000%"
"ACG","ATCOR FPO",0.055,"+0.000%"
"AHN","ATHENA RES FPO",0.026,"+0.000%"
"AGO","ATLAS IRON FPO",0.015,"-6.250%"
"ATP","ATLASPEARL FPO",0.029,"+0.000%"
"ATU","ATRUM COAL FPO",0.30,"-3.23%"
"AYA","ATTILA RES FPO",0.195,"+0.000%"
"AUB","AUB GROUP FPO",12.00,"-0.41%"
"AIA","AUCK AIRPT FPO NZX",6.28,"-0.32%"
"ACP","AUDALIA FPO",0.027,"+0.000%"
"AKP","AUDIOPIXEL FPO",15.70,"-1.88%"
"AUG","AUGEND FPO",1.48,"+0.00%"
"AUK","AUGUR RES FPO",0.02,"+0.00%"
"AEE","AURA EN FPO",0.026,"-3.704%"
"AMI","AURELIA FPO",0.19,"-2.56%"
"AZJ","AURIZON FPO",5.17,"-0.39%"
"AOU","AUROCH MIN FPO",0.195,"-2.500%"
"ABW","AURORA ARF ORD UNIT",0.59,"+0.00%"
"AOD","AURORADIT MFUNIT",0.695,"+0.579%"
"AIB","AURORA GLB UNITS",0.82,"+1.86%"
"A3D","AURORALABS FPO",1.40,"-6.04%"
"ARM","AURORA MIN FPO",0.05,"-1.96%"
"AUP","AURORA PRP UNITS",5.00,"+6.38%"
"AQJ","AUSASIAMIN FPO",0.001,"+0.000%"
"ANW","AUS TIN FPO",0.008,"+0.000%"
"AC8","AUSCANN FPO",0.56,"-6.67%"
"ASL","AUSDRILL FPO",1.365,"-0.727%"
"AUC","AUSGOLD FPO",0.028,"+0.000%"
"AOA","AUSMON FPO",0.007,"+0.000%"
"AU1","AUSFINSERV FPO",0.025,"+4.167%"
"ANV",N/A,N/A,N/A
"AST","AUSNET FPO",1.735,"+0.000%"
"AQD","AUSQUEST FPO",0.012,"+9.091%"
"ARK","AUSROC ME FPO",N/A,"+0.00%"
"ASB","AUSTAL LTD FPO",1.72,"-0.29%"
"AOK","AUSTEX OIL FPO",0.025,"-3.846%"
"ANG","AUSTIN ENG FPO",0.165,"+6.452%"
"AKK","AUSTIN FPO",0.004,"+0.000%"
"ACK","AUSTOCK FPO",0.58,"+3.57%"
"APG","AUSTPAC R FPO",0.007,"+0.000%"
"AGD","AUST GOLD FPO",0.165,"+0.000%"
"ARH","AUSASN RES FPO",0.005,"+0.000%"
"ANZ","ANZ BANK FPO",32.66,"+0.80%"
"AYM","AUSTUNITED FPO",0.004,"+0.000%"
"AAC","AUST AG CO FPO",1.70,"+0.89%"
"AAP","AUSAGRIPRO FPO",0.039,"+0.000%"
"ABX","AUSBAUXITE FPO",0.115,"-8.000%"
"ACO","AUSCAREER FPO",3.43,"+0.00%"
"XCL",N/A,N/A,N/A
"AHF","AUSDAIRY STAPLED",0.14,"+0.00%"
"AYF","AUST EIF UNIT",6.05,"+0.00%"
"AEF","A ETHICAL FPO",90.20,"-0.88%"
"AFG","AUSTRA FIN FPO",1.35,"+0.75%"
"AFI","AUS.FOUND. FPO",5.81,"-0.34%"
"AQF","AUSGOVMAST FPO",1.96,"+0.51%"
"GSB",N/A,N/A,N/A
"GSI",N/A,N/A,N/A
"ALF","AUST LEAD FPO",1.24,"-0.40%"
"AYD","AMYF ONE FPO",8.28,"-3.50%"
"AYH","AMYF TWO FPO",18.10,"+36100.00%"
"AYJ","AMYF THREE FPO",57.00,"+0.00%"
"AYK","AMYF FOUR FPO",51.42,"+0.00%"
"AYZ","AMYF FIVE FPO",74.76,"+0.00%"
"AUZ","AUST MINES FPO",0.015,"-6.250%"
"AQC","AUSPACCOAL FPO",0.009,"+0.000%"
"API","AUST PHARM FPO",2.20,"+2.33%"
"APC","AUSPOTASH FPO",0.115,"+0.000%"
"ARC","AUST RURAL FPO",0.50,"+0.00%"
"AUI","A.U.INV. FPO",8.15,"+1.37%"
"AYU",N/A,N/A,N/A
"AOF","AU OFFICE FPO",2.09,"-0.48%"
"AVL","AUSTVANAD FPO",0.019,"+5.556%"
"AVG","AUST VINT FPO",0.43,"+1.18%"
"AWY","AUSWHISKY FPO",0.031,"+0.000%"
"ATS","AUSTRALIS FPO",0.25,"+0.00%"
"ANS","AUSTSINORE FPO",0.007,"+0.000%"
"ABA","AUSWIDE FPO",5.18,"+0.00%"
"AIY","AUTHINVEST FPO",0.024,"+0.000%"
"AHG","AHG LTD FPO",3.69,"-2.89%"
"4WD","AUTO SOLNS FPO",0.26,"-8.77%"
"ASG","AUTOSPORTS FPO",2.31,"-1.28%"
"AVI","AVALON MIN FPO",0.018,"+0.000%"
"AVB","AVANCO RES FPO",0.11,"-4.35%"
"AEV","AVENIRA FPO",0.083,"+0.000%"
"AVN","AVENTUS RE UNIT",2.36,"+0.00%"
"AOG","AVEO GROUP STAPLED",3.14,"-0.32%"
"AVW","AVIRAENRGY FPO",0.25,"+0.00%"
"AVH","AVITA MED FPO",0.086,"-4.444%"
"AVJ","AVJ FPO",0.595,"-0.833%"
"AVZ","AVZ MINS FPO",0.037,"+5.714%"
"AWE","AWE LTD FPO",0.43,"-2.27%"
"AXJ",N/A,N/A,N/A
"AVQ","AXIOM MINE CDI 1:1",0.135,"+12.500%"
"AXI","AXIOM FPO",0.05,"+0.00%"
"AXL","AXSESS T FPO",1.55,"+0.65%"
"AYG","AXXISTECH FPO",0.001,"+0.000%"
"APY","AZONTOPET FPO",0.01,"+0.00%"
"AZM","AZUMAH FPO",0.026,"+0.000%"
"AZV","AZ HEALTH FPO",0.10,"-9.09%"
"AZS","AZURE MINS FPO",0.013,"+8.333%"
"BBN","BABY B FPO",1.88,"+0.80%"
"BTI","BAILADOR FPO",0.94,"+0.00%"
"BOQ","BANK QLD FPO",11.99,"+0.08%"
"BMN","BANNERMAN FPO",0.045,"-4.255%"
"BAP","BAPCOR LTD FPO",5.25,"-1.13%"
"BKP","BARAKA FPO",0.001,"+0.000%"
"BCL","BARALABA FPO",0.565,"+1.802%"
"BD1","BARD1 LIFE FPO",0.03,"+0.00%"
"BAR","BARRA RES FPO",0.052,"+0.000%"
"BST","BARRACKST FPO",0.88,"+1.15%"
"BSE","BASEIRON FPO",0.315,"+3.279%"
"BSM","BASSMETALS FPO",0.013,"+8.333%"
"BAS","BASS OIL FPO",0.002,"+0.000%"
"BSR","BASSARI FPO",0.019,"+18.750%"
"BRL","BATHURST FPO",0.074,"-1.333%"
"BAT","BATTMIN FPO",0.084,"+0.000%"
"BMH","BAUMART FPO",0.21,"+0.00%"
"BAU","BAUXITERES FPO",0.069,"+0.000%"
"BBX","BBXMINERAL FPO",0.08,"+0.00%"
"BCI","BCIRON FPO",0.13,"-7.14%"
"BCD","BCD RES FPO",0.035,"+0.000%"
"BPT","BEACH FPO",0.75,"+1.35%"
"BLX","BEACON LTG FPO",1.76,"+1.73%"
"BCN","BEACON MIN FPO",0.02,"+11.11%"
"BDR","BEADELL FPO",0.23,"+0.00%"
"BGA","BEGA FPO",5.98,"-0.17%"
"BFG","BELL FN GP FPO",0.675,"+1.504%"
"BAL","BELLAMYS FPO",5.05,"+3.48%"
"BEN","BEN ADE BK FPO",12.50,"+1.05%"
"BLT","BENITEC FPO",0.19,"+8.57%"
"BEL","BENTLEY FPO",0.135,"-3.571%"
"BKY","BERKELEY FPO",0.73,"-4.58%"
"BMT","BERKUT FPO",0.21,"+0.00%"
"BFC","BEST GLOB FPO",0.25,"-5.66%"
"BYI","BEYOND INT FPO",0.975,"-0.510%"
"BHP","BHP BLT FPO",23.87,"-0.87%"
"BID","BIDENERGY FPO",0.029,"+0.000%"
"BRI",N/A,N/A,N/A
"BIG","BIG UN FPO",0.62,"-2.36%"
"BTH","BIGTINCAN FPO",0.22,"+0.00%"
"BBG","BILLABONG FPO",1.135,"-2.155%"
"BNO","BIONOMICS FPO",0.35,"-2.78%"
"BTC","BIO CAPITL FPO",0.12,"+0.00%"
"BIT","BIOTRON FPO",0.036,"+0.000%"
"BXN","BIOXYNE FPO",0.019,"+0.000%"
"BOP","B&P GROUP FPO",0.41,"+0.00%"
"BGS","BIRIMIAN FPO",0.225,"+0.000%"
"BIS","BISALLOY FPO",0.415,"+0.000%"
"BSN","BISAN FPO",0.023,"+0.000%"
"BKI","BKI INVEST FPO",1.605,"+0.312%"
"BKM","BKM MANAGE FPO",0.001,"+0.000%"
"BMZ","BLACKMOUNT FPO",0.04,"+0.00%"
"BKT","BLACKROCK FPO",0.093,"-11.429%"
"BSP","BLACKSTAR FPO",0.003,"+0.000%"
"BGG","BGOLD INT FPO",0.031,"+0.000%"
"BLK","BLACKHAM FPO",0.37,"-5.13%"
"BKL","BLACKMORE. FPO",106.49,"+3.86%"
"BSX","BLACKSTONE FPO",0.185,"+0.000%"
"BWF","BLACKWALL FPO",0.92,"+1.10%"
"BWR","BWLPTRUST UNITS",1.22,"+1.67%"
"BLZ","BLAZE INT FPO",0.031,"+0.000%"
"BGH","BLIGHRESOU FPO",0.035,"-2.778%"
"BDI","BLINA M FPO",0.001,"+0.000%"
"BUL","BLUEENERGY FPO",0.049,"+8.889%"
"BLA","BLUE SKY FPO",7.95,"+1.92%"
"BAF","BLUE S AAF FPO",1.15,"-0.43%"
"BCT","BLUECHIIP FPO",0.033,"+3.125%"
"BSL","BLUESCOPE FPO",11.59,"+0.09%"
"BLG","BLUGLASS FPO",0.255,"+2.000%"
"BMG","BMG FPO",0.011,"-8.333%"
"BOA","BOADICEA FPO",0.20,"+33.33%"
"BLY","BOART FPO",0.045,"+0.000%"
"BDA","BOD AUST FPO",0.245,"+0.000%"
"BOL","BOOM FPO",0.12,"+0.00%"
"BBR","BORA BORA FPO",0.047,"+0.000%"
"BLD","BORAL LTD FPO",6.08,"+0.33%"
"BOE","BOSS RES FPO",0.07,"-2.78%"
"BOT","BOTANIX FPO",0.051,"+0.000%"
"BML","BOTSWANA FPO",0.002,"+0.000%"
"BOC","BOUGVLLE.C FPO 1K",0.19,"+0.00%"
"BUY","BOUNTY OIL FPO",0.008,"+0.000%"
"BHL","BOYUAN FPO",0.185,"+0.000%"
"BPB",N/A,N/A,N/A
"BPH","BPH ENERGY FPO",0.004,"+0.000%"
"BPS","BPSTECH FPO",0.86,"-3.91%"
"BKN","BRADKEN FPO",3.24,"+0.00%"
"BRC","BRAIN RES FPO",0.07,"-12.50%"
"BRN","BRAINCHIP FPO",0.20,"+0.00%"
"BXB","BRAMB LTD FPO",10.16,"+2.73%"
"BVS","BRAVURA FPO",1.40,"+0.00%"
"BRB","BREAKER FPO",0.575,"-0.862%"
"BRG","BREVILLE FPO",10.68,"-2.38%"
"BKW","BRICKWORKS FPO",14.62,"+0.00%"
"BYL","BRIERTY FPO",0.097,"+0.000%"
"BTN","BRIGHT MIN FPO",0.006,"+0.000%"
"BBL","BRIS BRONC FPO",0.46,"+0.00%"
"BRO","BROAD INVT FPO",0.002,"+0.000%"
"BCK","BROCKMAN FPO",0.023,"+4.545%"
"BPL","BROKEN HIL FPO NZ",0.034,"-5.556%"
"BGR","BRONSON GR FPO",0.004,"+0.000%"
"BEE","BROO LTD FPO",0.28,"-1.75%"
"BPA","BROOKPRIME UNIT",8.66,"+0.00%"
"BRK","BROOKSIDE FPO",0.013,"+0.000%"
"BSA","BSA AUST FPO",0.345,"+0.000%"
"BTT","BT INVEST FPO",11.91,"+0.51%"
"BUB","BUBS AUST FPO",0.14,"-6.67%"
"BUD","BUDDY FPO",0.055,"-1.786%"
"BUG","BUD GINGER FPO",0.35,"+1.45%"
"BIQ","BUILDINGIQ CDI 1:1",0.061,"+0.000%"
"BNR","BULLETIN FPO",0.033,"+0.000%"
"BPF","BULLETPRF FPO",0.15,"+0.00%"
"BUA","BURRABULLA FPO",N/A,"+0.00%"
"BRU","BURUENERGY FPO",0.17,"+0.00%"
"BUX","BUXTONRES FPO",0.24,"+0.00%"
"BMP","BUYMYPLACE FPO",0.28,"+0.00%"
"BWP","BWP TRUST ORD UNITS",2.92,"+0.00%"
"BWX","BWXLIMITED FPO",5.37,"+4.88%"
"BYE","BYRON ENER FPO",0.09,"+0.00%"
"BPG","BYTE POWER FPO",0.001,"+0.000%"
"CAB","CABCHARGE FPO",2.62,"+3.15%"
"CBS","CABRAL FPO",0.03,"+0.00%"
"CDM","CADENCE FPO",1.23,"+1.65%"
"CAD","CAENEUS FPO",0.004,"+0.000%"
"DXA",N/A,N/A,N/A
"CTX","CALTEX FPO",29.42,"-0.27%"
"CAE","CANNINDAH FPO",0.026,"+4.000%"
"CAY","CANYON FPO",0.073,"-5.195%"
"CFE","CAPE LAMBT FPO",0.028,"-6.667%"
"CZZ","CAPILANO FPO",15.00,"+0.07%"
"CMY","CAP MINING FPO",0.016,"-11.111%"
"CAJ","CAPITOL H FPO",0.175,"+9.375%"
"CAA","CAPRAL FPO",0.17,"+6.25%"
"CMM","CAPMETALS FPO",0.11,"-4.35%"
"CAQ","CAQHOLDLTD FPO",0.14,"+0.00%"
"CVV","CARAVELMIN FPO",0.07,"+1.45%"
"CRB","CARBINE FPO",0.09,"+5.88%"
"CNQ","CARB TUNG FPO",0.01,"+0.00%"
"CNX","CARBON ENE FPO",0.013,"+0.000%"
"CRM","CARBON FPO",0.10,"+0.00%"
"CDV","CARDINAL FPO",0.48,"-2.04%"
"CDD","CARDNO FPO",1.32,"+0.38%"
"CDP","CARINDALE UNIT",8.12,"-0.37%"
"CIN","CARLT.INV. FPO",32.00,"+0.06%"
"CVN","CARNARVON FPO",0.089,"+0.000%"
"CAV","CARNAVALE FPO",0.011,"+10.000%"
"CCE","CARNEGIE FPO",0.067,"-4.286%"
"CAP","CARPENTARI FPO",0.062,"+0.000%"
"CAR","CARSALES FPO",11.71,"+1.30%"
"CCV","CASH CONV FPO",0.275,"-1.786%"
"CZI","CASSINI FPO",0.078,"+1.299%"
"CCZ","CASTILLOCO FPO",0.016,"+0.000%"
"CDT","CASTLE MIN FPO",0.017,"+0.000%"
"CYL","CAT METALS FPO",0.46,"-2.13%"
"CAT","CATAPULT FPO",2.16,"+1.89%"
"CXU","CAULDRON FPO",0.045,"-10.000%"
"CAZ","CAZALY RES FPO",0.06,"+20.00%"
"CBC","CBGCAPITAL FPO",0.88,"+0.00%"
"CBL","CBL CORP FPO NZX",3.16,"+0.00%"
"CT1","CCP TECH FPO",0.019,"-5.000%"
"CWP","CEDARWOODS FPO",5.34,"+0.38%"
"CNL","CELAMIN FPO",0.01,"+0.00%"
"CDY","CELLMID FPO",0.029,"+0.000%"
"CLT","CELLNET FPO",0.24,"+0.00%"
"CLA","CELCOAL FPO",0.041,"-8.889%"
"CTM","CENTAURUS FPO",0.009,"+12.500%"
"CTL","CENTENNML FPO",0.018,"+0.000%"
"CVR","CENASIARES FPO",0.001,"+0.000%"
"CTP","CENT PETRL FPO",0.20,"+0.00%"
"CAF","C ALLIANCE FPO",0.64,"+1.59%"
"CXM","CENTREX FPO",0.068,"+0.000%"
"CNI","CENTURIA STAPLED",1.19,"+1.71%"
"CIP","CEN I REIT ORD UNIT",2.45,"-1.21%"
"CMA","CENTMTREIT ORD UNIT",2.38,"+0.00%"
"CUA","CEN U REIT ORD UNIT",2.27,"+0.89%"
"CYA","CENTURY AU FPO",0.94,"-1.05%"
"CFU","CERAMCCELL FPO",0.004,"+0.000%"
"CVS","CERVANTES FPO",0.015,"+0.000%"
"CFO","CFOAM FPO",0.44,"+2.33%"
"CHN","CHALICE FPO",0.16,"+3.23%"
"CEL","CHAL ENG FPO",0.024,"-4.000%"
"CGF","CHALLENGER FPO",13.31,"+1.53%"
"CHJ",N/A,N/A,N/A
"CHU",N/A,N/A,N/A
"CHR","CHALMERS FPO",3.10,"+0.00%"
"CIA","CHAMP IRON FPO",1.00,"+2.04%"
"CHP","CHAPMANS FPO",0.016,"-5.882%"
"CHC","CHARTER HG FORUS",5.67,"-0.18%"
"CLW","CHTR H LWR STAPLED",3.99,"+0.00%"
"CQR","CHRETAILRT UNIT",4.49,"-0.44%"
"CHF","CHARTERPAC FPO",0.019,"+58.333%"
"CHZ","CHESSER FPO",0.052,"+6.122%"
"CCA","CHIMPCHNGE FPO",0.78,"-6.59%"
"CCB",N/A,N/A,N/A
"CDC","CHINADAIRY CDI 1:1",0.125,"+0.000%"
"CMC","CHINA MAG FPO",0.023,"+0.000%"
"CYU","CHINALCO FPO",0.01,"+0.00%"
"CDH","CHONGHERR FPO",0.009,"+0.000%"
"CNU","CHORUS FPO NZX",4.16,"+1.96%"
"CII","CI RES FPO",1.61,"-2.42%"
"CIM","CIMIC FPO",36.16,"-0.03%"
"CNW","CIRRUS NET FPO",0.017,"-15.000%"
"CTR","CITATIONRS FPO",0.059,"-1.667%"
"CTO","CITIGOLD FPO",0.011,"+0.000%"
"CLY","CLANCY EXP FPO",0.003,"+0.000%"
"CND","CLARIUS FPO",0.096,"-2.041%"
"CL1","CLASS FPO",2.86,"-0.35%"
"CLZ","CLASSICMIN FPO",0.011,"+0.000%"
"CSS","CLEAN SEAS FPO",0.031,"-6.061%"
"CLQ","CLEANTEQ FPO",0.70,"+14.75%"
"CWY","CLEANAWAY FPO",1.27,"-0.78%"
"CVW","CLEARVIEW FPO",1.39,"-2.11%"
"CDG","CLEVELAND FPO",0.07,"+0.00%"
"CAM","CLIME CAP FPO",0.885,"+0.000%"
"CIW","CLIME INV FPO",0.50,"+5.26%"
