"IJH.AX","ISCMIDCAP CDI 1:1",235.00,+0.80,N/A
"MOQ.AX","MOQLIMITED FPO",0.30,+0.00,N/A
"1PG.AX","1 PAGE FPO",N/A,+0.000,N/A
"ONT.AX","SMILES LTD FPO",7.10,+0.15,N/A
"1ST.AX","1ST GROUP FPO",0.045,-0.001,N/A
"T3D.AX","333D FPO",0.011,+0.000,N/A
"TGP.AX","360 GROUP STAPLED",0.940,+0.005,N/A
"TOT.AX","360 TOTAL STAPLED",1.15,-0.01,N/A
"TDO.AX","3D OIL FPO",0.047,+0.005,N/A
"DDD.AX","3D RES FPO",0.005,+0.000,N/A
"3PL.AX","3PLEARNING FPO",1.03,-0.01,N/A
"4DS.AX","4DSMEMORY FPO",0.026,+0.001,N/A
"88E.AX","88 ENERGY FPO",0.048,-0.001,N/A
"8CO.AX","8COMMONLTD FPO",0.058,+0.000,N/A
"8IH.AX","8I HOLD CDI 1:1",0.50,+0.00,N/A
"8EC.AX","8IP EMERG FPO",0.91,+0.00,N/A
"9SP.AX","9SPOKES FPO NZ",0.150,+0.000,N/A
"NNW.AX","99 WUXIAN CDI 1:1",0.10,+0.01,N/A
"ACB.AX","ACAP RES FPO",0.058,+0.000,N/A
"AYI.AX","A1 INVEST FPO",0.001,+0.000,N/A
"ABP.AX","ABACUS STAPLED",3.46,+0.00,N/A
"ALR.AX","ABERDEEN FPO",1.17,+0.00,N/A
"ABL.AX","ABILENEOIL FPO",0.016,+0.000,N/A
"ABU.AX","ABM RES FPO",0.10,+0.00,N/A
"AEG.AX","AB EQ PERF FPO",1.03,+0.01,N/A
"ABT.AX","ABUNDANT FPO",0.350,+0.005,N/A
"AJC.AX","ACACIACOAL FPO",0.007,+0.001,N/A
"AKG.AX","ACADEMIES FPO",0.195,+0.000,N/A
"ACS.AX","ACCENT RES FPO",0.05,+0.00,N/A
"ACX.AX","ACONEX FPO",4.89,+0.23,N/A
"ACQ.AX","ACORN CAP FPO",0.950,+0.000,N/A
"ACR.AX","ACRUX FPO",0.270,-0.015,N/A
"ACW.AX","ACTINOGEN FPO",0.082,+0.002,N/A
"AIV.AX","ACTIVEX FPO",0.12,+0.00,N/A
"ACU.AX","ACU LTD FPO",N/A,+0.000,N/A
"ADA.AX","ADACEL FPO",2.33,+0.03,N/A
"ADH.AX","ADAIRS FPO",0.81,+0.00,N/A
"1AD.AX","ADALTA FPO",0.27,+0.00,N/A
"ADD.AX","ADAVALE FPO",0.02,+0.00,N/A
"AAU.AX","ADCORP AUS FPO",0.060,+0.000,N/A
"ABC.AX","ADEL BRTN FPO",5.98,+0.04,N/A
"ADQ.AX","ADG GLOBAL FPO",N/A,+0.00,N/A
"ADR.AX","ADHERIUM FPO",0.19,+0.01,N/A
"AHZ.AX","ADMEDUS FPO",0.310,+0.005,N/A
"ADY.AX","ADMIRALTY FPO",0.010,+0.000,N/A
"ADJ.AX","ADSLOT LTD FPO",0.065,+0.001,N/A
"ABV.AX","ADV BRAKE FPO",0.007,+0.000,N/A
"ANO.AX","ADVNANOTEC FPO",0.028,+0.000,N/A
"ASW.AX","ADVANSHARE FPO",0.84,+0.00,N/A
"ADX.AX","ADXENERGY FPO",0.014,-0.001,N/A
"AER.AX","AEERIS FPO",0.05,+0.00,N/A
"AML.AX","AEON METAL FPO",0.170,+0.000,N/A
"AEI.AX","AERIS ENV FPO",0.31,+0.00,N/A
"AIS.AX","AERISRES FPO",0.049,+0.000,N/A
